FRAUD ALERT | Time ID: 20011.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 8169.0 | Amount: $1.00 | AI Score: 0.9938
FRAUD ALERT | Time ID: 8408.0 | Amount: $1.00 | AI Score: 0.9937
FRAUD ALERT | Time ID: 8415.0 | Amount: $1.00 | AI Score: 0.9972
FRAUD ALERT | Time ID: 8451.0 | Amount: $1.00 | AI Score: 0.9948
FRAUD ALERT | Time ID: 8528.0 | Amount: $1.00 | AI Score: 0.9976
FRAUD ALERT | Time ID: 8614.0 | Amount: $1.00 | AI Score: 0.9676
FRAUD ALERT | Time ID: 8757.0 | Amount: $1.00 | AI Score: 0.9862
FRAUD ALERT | Time ID: 8808.0 | Amount: $1.10 | AI Score: 0.9224
FRAUD ALERT | Time ID: 8878.0 | Amount: $1.00 | AI Score: 0.9979
FRAUD ALERT | Time ID: 8886.0 | Amount: $1.00 | AI Score: 0.9978
FRAUD ALERT | Time ID: 11080.0 | Amount: $1.00 | AI Score: 0.9844
FRAUD ALERT | Time ID: 11092.0 | Amount: $1.00 | AI Score: 0.9941
FRAUD ALERT | Time ID: 11131.0 | Amount: $1.00 | AI Score: 0.9984
FRAUD ALERT | Time ID: 11629.0 | Amount: $1.00 | AI Score: 0.9943
FRAUD ALERT | Time ID: 11635.0 | Amount: $1.00 | AI Score: 0.9931
FRAUD ALERT | Time ID: 12093.0 | Amount: $0.00 | AI Score: 0.9977
FRAUD ALERT | Time ID: 12095.0 | Amount: $30.39 | AI Score: 0.9938
FRAUD ALERT | Time ID: 12597.0 | Amount: $1.00 | AI Score: 0.9957
FRAUD ALERT | Time ID: 13126.0 | Amount: $1.00 | AI Score: 0.9989
FRAUD ALERT | Time ID: 13323.0 | Amount: $1.00 | AI Score: 0.9963
FRAUD ALERT | Time ID: 14073.0 | Amount: $1.00 | AI Score: 0.9967
FRAUD ALERT | Time ID: 14152.0 | Amount: $1.00 | AI Score: 0.9966
FRAUD ALERT | Time ID: 17187.0 | Amount: $3.79 | AI Score: 0.9004
FRAUD ALERT | Time ID: 17230.0 | Amount: $3.93 | AI Score: 0.7902
FRAUD ALERT | Time ID: 17520.0 | Amount: $1.00 | AI Score: 0.9968
FRAUD ALERT | Time ID: 17838.0 | Amount: $766.36 | AI Score: 1.0000
FRAUD ALERT | Time ID: 18088.0 | Amount: $1218.89 | AI Score: 0.9964
FRAUD ALERT | Time ID: 18399.0 | Amount: $1.00 | AI Score: 0.9991
FRAUD ALERT | Time ID: 18675.0 | Amount: $188.78 | AI Score: 0.9999
FRAUD ALERT | Time ID: 18690.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 19762.0 | Amount: $1.00 | AI Score: 0.9998
FRAUD ALERT | Time ID: 20011.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 20332.0 | Amount: $1.00 | AI Score: 0.9996
FRAUD ALERT | Time ID: 20451.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 20931.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21046.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21419.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21662.0 | Amount: $1.00 | AI Score: 0.9992
FRAUD ALERT | Time ID: 25095.0 | Amount: $3.12 | AI Score: 0.8958
FRAUD ALERT | Time ID: 25231.0 | Amount: $99.99 | AI Score: 0.8643
FRAUD ALERT | Time ID: 25254.0 | Amount: $99.99 | AI Score: 0.8445
FRAUD ALERT | Time ID: 25426.0 | Amount: $3.76 | AI Score: 0.9331
FRAUD ALERT | Time ID: 26523.0 | Amount: $99.99 | AI Score: 0.9689
FRAUD ALERT | Time ID: 26556.0 | Amount: $99.99 | AI Score: 0.9821
FRAUD ALERT | Time ID: 26585.0 | Amount: $99.99 | AI Score: 0.9826
FRAUD ALERT | Time ID: 26833.0 | Amount: $99.99 | AI Score: 0.9833
FRAUD ALERT | Time ID: 26863.0 | Amount: $99.99 | AI Score: 0.9824
FRAUD ALERT | Time ID: 26899.0 | Amount: $99.99 | AI Score: 0.9824
FRAUD ALERT | Time ID: 26931.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 26961.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 27163.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 27187.0 | Amount: $99.99 | AI Score: 0.9865
FRAUD ALERT | Time ID: 27219.0 | Amount: $99.99 | AI Score: 0.9854
FRAUD ALERT | Time ID: 27252.0 | Amount: $99.99 | AI Score: 0.9874
FRAUD ALERT | Time ID: 406.0 | Amount: $0.00 | AI Score: 0.9990
FRAUD ALERT | Time ID: 4462.0 | Amount: $239.93 | AI Score: 0.9733
FRAUD ALERT | Time ID: 6986.0 | Amount: $59.00 | AI Score: 0.9775
FRAUD ALERT | Time ID: 7519.0 | Amount: $1.00 | AI Score: 0.8602
FRAUD ALERT | Time ID: 7526.0 | Amount: $1.00 | AI Score: 0.9944
FRAUD ALERT | Time ID: 7535.0 | Amount: $1.00 | AI Score: 0.9992
FRAUD ALERT | Time ID: 7543.0 | Amount: $1.00 | AI Score: 0.9989
FRAUD ALERT | Time ID: 7551.0 | Amount: $1.00 | AI Score: 0.9986
FRAUD ALERT | Time ID: 7610.0 | Amount: $1.00 | AI Score: 0.9974
FRAUD ALERT | Time ID: 7672.0 | Amount: $1.00 | AI Score: 0.9975
FRAUD ALERT | Time ID: 7740.0 | Amount: $1.00 | AI Score: 0.9970
FRAUD ALERT | Time ID: 7891.0 | Amount: $1.00 | AI Score: 0.9953
FRAUD ALERT | Time ID: 8090.0 | Amount: $1.00 | AI Score: 0.9910
FRAUD ALERT | Time ID: 8169.0 | Amount: $1.00 | AI Score: 0.9938
FRAUD ALERT | Time ID: 8408.0 | Amount: $1.00 | AI Score: 0.9937
FRAUD ALERT | Time ID: 8415.0 | Amount: $1.00 | AI Score: 0.9972
FRAUD ALERT | Time ID: 8451.0 | Amount: $1.00 | AI Score: 0.9948
FRAUD ALERT | Time ID: 8528.0 | Amount: $1.00 | AI Score: 0.9976
FRAUD ALERT | Time ID: 8614.0 | Amount: $1.00 | AI Score: 0.9676
FRAUD ALERT | Time ID: 8757.0 | Amount: $1.00 | AI Score: 0.9862
FRAUD ALERT | Time ID: 8808.0 | Amount: $1.10 | AI Score: 0.9224
FRAUD ALERT | Time ID: 8878.0 | Amount: $1.00 | AI Score: 0.9979
FRAUD ALERT | Time ID: 8886.0 | Amount: $1.00 | AI Score: 0.9978
FRAUD ALERT | Time ID: 11080.0 | Amount: $1.00 | AI Score: 0.9844
FRAUD ALERT | Time ID: 11092.0 | Amount: $1.00 | AI Score: 0.9941
FRAUD ALERT | Time ID: 11131.0 | Amount: $1.00 | AI Score: 0.9984
FRAUD ALERT | Time ID: 11629.0 | Amount: $1.00 | AI Score: 0.9943
FRAUD ALERT | Time ID: 11635.0 | Amount: $1.00 | AI Score: 0.9931
FRAUD ALERT | Time ID: 12093.0 | Amount: $0.00 | AI Score: 0.9977
FRAUD ALERT | Time ID: 12095.0 | Amount: $30.39 | AI Score: 0.9938
FRAUD ALERT | Time ID: 12597.0 | Amount: $1.00 | AI Score: 0.9957
FRAUD ALERT | Time ID: 13126.0 | Amount: $1.00 | AI Score: 0.9989
FRAUD ALERT | Time ID: 13323.0 | Amount: $1.00 | AI Score: 0.9963
FRAUD ALERT | Time ID: 14073.0 | Amount: $1.00 | AI Score: 0.9967
FRAUD ALERT | Time ID: 14152.0 | Amount: $1.00 | AI Score: 0.9966
FRAUD ALERT | Time ID: 17187.0 | Amount: $3.79 | AI Score: 0.9004
FRAUD ALERT | Time ID: 17230.0 | Amount: $3.93 | AI Score: 0.7902
FRAUD ALERT | Time ID: 17520.0 | Amount: $1.00 | AI Score: 0.9968
FRAUD ALERT | Time ID: 17838.0 | Amount: $766.36 | AI Score: 1.0000
FRAUD ALERT | Time ID: 18088.0 | Amount: $1218.89 | AI Score: 0.9964
FRAUD ALERT | Time ID: 18399.0 | Amount: $1.00 | AI Score: 0.9991
FRAUD ALERT | Time ID: 18675.0 | Amount: $188.78 | AI Score: 0.9999
FRAUD ALERT | Time ID: 18690.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 19762.0 | Amount: $1.00 | AI Score: 0.9998
FRAUD ALERT | Time ID: 20011.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 20332.0 | Amount: $1.00 | AI Score: 0.9996
FRAUD ALERT | Time ID: 20451.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 20931.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21046.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21419.0 | Amount: $1.00 | AI Score: 0.9994
FRAUD ALERT | Time ID: 21662.0 | Amount: $1.00 | AI Score: 0.9992
FRAUD ALERT | Time ID: 25095.0 | Amount: $3.12 | AI Score: 0.8958
FRAUD ALERT | Time ID: 25231.0 | Amount: $99.99 | AI Score: 0.8643
FRAUD ALERT | Time ID: 25254.0 | Amount: $99.99 | AI Score: 0.8445
FRAUD ALERT | Time ID: 25426.0 | Amount: $3.76 | AI Score: 0.9331
FRAUD ALERT | Time ID: 26523.0 | Amount: $99.99 | AI Score: 0.9689
FRAUD ALERT | Time ID: 26556.0 | Amount: $99.99 | AI Score: 0.9821
FRAUD ALERT | Time ID: 26585.0 | Amount: $99.99 | AI Score: 0.9826
FRAUD ALERT | Time ID: 26833.0 | Amount: $99.99 | AI Score: 0.9833
FRAUD ALERT | Time ID: 26863.0 | Amount: $99.99 | AI Score: 0.9824
FRAUD ALERT | Time ID: 26899.0 | Amount: $99.99 | AI Score: 0.9824
FRAUD ALERT | Time ID: 26931.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 26961.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 27163.0 | Amount: $99.99 | AI Score: 0.9853
FRAUD ALERT | Time ID: 27187.0 | Amount: $99.99 | AI Score: 0.9865
FRAUD ALERT | Time ID: 27219.0 | Amount: $99.99 | AI Score: 0.9854
FRAUD ALERT | Time ID: 27252.0 | Amount: $99.99 | AI Score: 0.9874
FRAUD ALERT | Time ID: 27524.0 | Amount: $1.00 | AI Score: 0.9398
FRAUD ALERT | Time ID: 27784.0 | Amount: $23.36 | AI Score: 0.9175
FRAUD ALERT | Time ID: 28143.0 | Amount: $99.99 | AI Score: 0.9836
FRAUD ALERT | Time ID: 28242.0 | Amount: $730.86 | AI Score: 0.9271
FRAUD ALERT | Time ID: 28625.0 | Amount: $99.99 | AI Score: 0.9862
FRAUD ALERT | Time ID: 28658.0 | Amount: $99.99 | AI Score: 0.9880
FRAUD ALERT | Time ID: 28692.0 | Amount: $99.99 | AI Score: 0.9857
FRAUD ALERT | Time ID: 28726.0 | Amount: $99.99 | AI Score: 0.9887
FRAUD ALERT | Time ID: 28755.0 | Amount: $99.99 | AI Score: 0.9865
FRAUD ALERT | Time ID: 29526.0 | Amount: $0.68 | AI Score: 0.9274
FRAUD ALERT | Time ID: 29531.0 | Amount: $0.68 | AI Score: 0.9478
FRAUD ALERT | Time ID: 29753.0 | Amount: $0.68 | AI Score: 0.9998
FRAUD ALERT | Time ID: 29785.0 | Amount: $30.30 | AI Score: 0.7965
FRAUD ALERT | Time ID: 30852.0 | Amount: $104.81 | AI Score: 0.9197
FRAUD ALERT | Time ID: 32686.0 | Amount: $0.00 | AI Score: 0.9930
FRAUD ALERT | Time ID: 32745.0 | Amount: $717.15 | AI Score: 0.9696
FRAUD ALERT | Time ID: 34256.0 | Amount: $19.02 | AI Score: 0.9827
FRAUD ALERT | Time ID: 34521.0 | Amount: $1.52 | AI Score: 0.7280
FRAUD ALERT | Time ID: 34634.0 | Amount: $18.96 | AI Score: 0.9995
FRAUD ALERT | Time ID: 34684.0 | Amount: $125.30 | AI Score: 0.9957
FRAUD ALERT | Time ID: 34687.0 | Amount: $19.02 | AI Score: 0.9800
FRAUD ALERT | Time ID: 35585.0 | Amount: $0.76 | AI Score: 0.8306
FRAUD ALERT | Time ID: 35771.0 | Amount: $60.60 | AI Score: 0.9733
FRAUD ALERT | Time ID: 35866.0 | Amount: $7.61 | AI Score: 0.9700
FRAUD ALERT | Time ID: 35899.0 | Amount: $1.00 | AI Score: 0.9596
FRAUD ALERT | Time ID: 35906.0 | Amount: $9.13 | AI Score: 0.9473
FRAUD ALERT | Time ID: 35926.0 | Amount: $4.56 | AI Score: 0.9784
FRAUD ALERT | Time ID: 35942.0 | Amount: $14.46 | AI Score: 0.9770
FRAUD ALERT | Time ID: 35953.0 | Amount: $111.70 | AI Score: 0.9614
FRAUD ALERT | Time ID: 36170.0 | Amount: $111.70 | AI Score: 0.9965
FRAUD ALERT | Time ID: 37167.0 | Amount: $12.31 | AI Score: 0.9409
FRAUD ALERT | Time ID: 39729.0 | Amount: $776.83 | AI Score: 0.9253
FRAUD ALERT | Time ID: 40086.0 | Amount: $1.00 | AI Score: 0.9547
FRAUD ALERT | Time ID: 40662.0 | Amount: $1.00 | AI Score: 0.9993
FRAUD ALERT | Time ID: 40742.0 | Amount: $1.00 | AI Score: 0.9987
FRAUD ALERT | Time ID: 40892.0 | Amount: $0.76 | AI Score: 0.8888
FRAUD ALERT | Time ID: 40918.0 | Amount: $0.76 | AI Score: 0.9996
FRAUD ALERT | Time ID: 40919.0 | Amount: $112.33 | AI Score: 0.9999
FRAUD ALERT | Time ID: 41116.0 | Amount: $3.79 | AI Score: 0.9771
FRAUD ALERT | Time ID: 41138.0 | Amount: $340.11 | AI Score: 0.9983
FRAUD ALERT | Time ID: 41147.0 | Amount: $88.23 | AI Score: 0.9931
FRAUD ALERT | Time ID: 41164.0 | Amount: $5.30 | AI Score: 0.9932
FRAUD ALERT | Time ID: 41170.0 | Amount: $83.38 | AI Score: 0.9985
FRAUD ALERT | Time ID: 41181.0 | Amount: $11.38 | AI Score: 0.9803
FRAUD ALERT | Time ID: 41194.0 | Amount: $1.52 | AI Score: 0.9985
FRAUD ALERT | Time ID: 41203.0 | Amount: $88.23 | AI Score: 0.9984
FRAUD ALERT | Time ID: 41204.0 | Amount: $30.26 | AI Score: 0.9992
FRAUD ALERT | Time ID: 41227.0 | Amount: $459.07 | AI Score: 0.9987
FRAUD ALERT | Time ID: 41233.0 | Amount: $0.00 | AI Score: 0.9991
FRAUD ALERT | Time ID: 41237.0 | Amount: $118.30 | AI Score: 0.9997
FRAUD ALERT | Time ID: 41243.0 | Amount: $45.49 | AI Score: 0.9990
FRAUD ALERT | Time ID: 41273.0 | Amount: $173.07 | AI Score: 0.9984
FRAUD ALERT | Time ID: 41285.0 | Amount: $37.32 | AI Score: 0.9994
FRAUD ALERT | Time ID: 41305.0 | Amount: $59.68 | AI Score: 0.9994
FRAUD ALERT | Time ID: 41308.0 | Amount: $0.76 | AI Score: 0.9998
FRAUD ALERT | Time ID: 41313.0 | Amount: $9.99 | AI Score: 0.9983
FRAUD ALERT | Time ID: 41353.0 | Amount: $34.12 | AI Score: 0.9996
FRAUD ALERT | Time ID: 41397.0 | Amount: $273.01 | AI Score: 0.9998
FRAUD ALERT | Time ID: 41413.0 | Amount: $106.55 | AI Score: 0.9997
FRAUD ALERT | Time ID: 41505.0 | Amount: $364.19 | AI Score: 0.9947
FRAUD ALERT | Time ID: 41582.0 | Amount: $39.45 | AI Score: 0.9954
FRAUD ALERT | Time ID: 41607.0 | Amount: $53.95 | AI Score: 0.9990
FRAUD ALERT | Time ID: 41646.0 | Amount: $172.32 | AI Score: 0.9996
FRAUD ALERT | Time ID: 41743.0 | Amount: $802.52 | AI Score: 0.9840
FRAUD ALERT | Time ID: 41791.0 | Amount: $99.99 | AI Score: 0.9215
FRAUD ALERT | Time ID: 41851.0 | Amount: $139.90 | AI Score: 0.9987
FRAUD ALERT | Time ID: 41870.0 | Amount: $1.00 | AI Score: 0.9954
FRAUD ALERT | Time ID: 41991.0 | Amount: $1.00 | AI Score: 0.9777
FRAUD ALERT | Time ID: 42247.0 | Amount: $1.00 | AI Score: 0.9991
FRAUD ALERT | Time ID: 42474.0 | Amount: $1.00 | AI Score: 0.9997
FRAUD ALERT | Time ID: 42985.0 | Amount: $1.00 | AI Score: 0.9990
FRAUD ALERT | Time ID: 42988.0 | Amount: $648.00 | AI Score: 0.9999
FRAUD ALERT | Time ID: 43028.0 | Amount: $204.27 | AI Score: 0.9853
FRAUD ALERT | Time ID: 43369.0 | Amount: $88.00 | AI Score: 0.9939
FRAUD ALERT | Time ID: 44393.0 | Amount: $1.00 | AI Score: 0.9984
FRAUD ALERT | Time ID: 45463.0 | Amount: $1.00 | AI Score: 0.9904
FRAUD ALERT | Time ID: 45501.0 | Amount: $105.99 | AI Score: 0.7626
FRAUD ALERT | Time ID: 45541.0 | Amount: $1.00 | AI Score: 0.9987
FRAUD ALERT | Time ID: 46057.0 | Amount: $1.00 | AI Score: 0.9367
FRAUD ALERT | Time ID: 46149.0 | Amount: $1.00 | AI Score: 0.9230
FRAUD ALERT | Time ID: 46925.0 | Amount: $1.00 | AI Score: 0.8336
FRAUD ALERT | Time ID: 47826.0 | Amount: $7.58 | AI Score: 0.7631
FRAUD ALERT | Time ID: 47923.0 | Amount: $0.76 | AI Score: 0.9972
FRAUD ALERT | Time ID: 47982.0 | Amount: $0.76 | AI Score: 0.8307
FRAUD ALERT | Time ID: 48380.0 | Amount: $208.58 | AI Score: 0.9285
FRAUD ALERT | Time ID: 48533.0 | Amount: $1.00 | AI Score: 0.7475
FRAUD ALERT | Time ID: 48884.0 | Amount: $19.73 | AI Score: 0.9807
FRAUD ALERT | Time ID: 49985.0 | Amount: $360.00 | AI Score: 0.9969
FRAUD ALERT | Time ID: 50706.0 | Amount: $99.99 | AI Score: 0.9822
FRAUD ALERT | Time ID: 50808.0 | Amount: $99.99 | AI Score: 0.9558
FRAUD ALERT | Time ID: 51112.0 | Amount: $99.99 | AI Score: 0.9602
FRAUD ALERT | Time ID: 51135.0 | Amount: $99.99 | AI Score: 0.9537
FRAUD ALERT | Time ID: 51155.0 | Amount: $99.99 | AI Score: 0.9557
